date,product_id,quantity,sales,name,category,price,year
2022-07-22,P088,6.0,3042.0780617614932,Продукт 88,Wi_Fi_роутер,622.93,2022
2022-08-16,P028,9.0,4190.76,Продукт 28,Wi_Fi_роутер,698.46,2022
2022-05-29,P060,9.0,1769.65,Продукт 60,Wi_Fi_роутер,353.93,2022
2022-04-09,P030,6.0,3042.0780617614932,Продукт 30,Планшет,103.17,2022
2022-01-01,P067,2.0,5488.68,Продукт 67,Смартфон,914.78,2022
2022-01-01,P024,3.0,1244.34,Продукт 24,Планшет,414.78,2022
2022-08-18,P084,5.0,5848.56,Продукт 84,Wi_Fi_роутер,974.76,2022
2022-06-19,P017,9.0,493.1,Продукт 17,Ноутбук,246.55,2022
2022-05-21,P046,4.0,1936.74,Продукт 46,Планшет,322.79,2022
2022-06-01,P014,7.0,1810.92,Продукт 14,Wi_Fi_роутер,905.46,2022
2022-12-01,P033,7.0,1308.57,Продукт 33,Телефизор,436.19,2022
2022-04-24,P067,3.0,3042.0780617614932,Продукт 67,Смартфон,914.78,2022
2022-12-14,P096,8.0,1602.9,Продукт 96,Смартфон,320.58,2022
2022-04-07,P014,5.0,9054.6,Продукт 14,Wi_Fi_роутер,905.46,2022
2022-12-11,P000,6.0,280.72,Продукт 0,Смартфон,140.36,2022
2022-04-01,P041,9.0,2286.1,Продукт 41,Телефизор,457.22,2022
2022-04-24,P075,9.0,3132.6,Продукт 75,Смартфон,783.15,2022
2022-01-11,P002,6.0,8284.2,Продукт 2,Ноутбук,828.42,2022
2022-01-13,P042,1.0,808.65,Продукт 42,Смартфон,269.55,2022
2022-09-05,P043,8.0,6668.76,Продукт 43,Планшет,952.68,2022
2022-12-02,P031,4.0,2359.32,Продукт 31,Ноутбук,393.22,2022
2022-03-16,P078,1.0,2172.9,Продукт 78,Wi_Fi_роутер,362.15,2022
2022-05-28,P043,5.0,4763.4,Продукт 43,Планшет,952.68,2022
2022-09-06,P028,6.0,1396.92,Продукт 28,Wi_Fi_роутер,698.46,2022
2022-12-02,P027,10.0,3042.0780617614932,Продукт 27,Ноутбук,54.77,2022
2022-03-17,P001,6.0,1682.1,Продукт 1,Телефизор,240.3,2022
2022-02-08,P033,4.0,2180.95,Продукт 33,Телефизор,436.19,2022
2022-08-02,P074,2.0,2187.32,Продукт 74,Планшет,546.83,2022
2022-12-25,P003,10.0,3042.0780617614932,Продукт 3,Смартфон,696.58,2022
2022-12-23,P054,5.0,3042.0780617614932,Продукт 54,Планшет,866.96,2022
2022-01-21,P013,5.0,684.4,Продукт 13,Ноутбук,68.44,2022
2022-10-21,P089,5.0,3711.33,Продукт 89,Ноутбук,530.19,2022
2022-02-23,P001,4.0,2162.7,Продукт 1,Телефизор,240.3,2022
2022-04-25,P067,3.0,914.78,Продукт 67,Смартфон,914.78,2022
2022-07-31,P049,4.0,4469.2,Продукт 49,Телефизор,893.84,2022
2022-05-09,P099,5.0,3404.55,Продукт 99,Ноутбук,680.91,2022
2022-01-31,P051,4.0,6938.26,Продукт 51,Телефизор,991.18,2022
2022-08-22,P012,9.0,3042.0780617614932,Продукт 12,Wi_Fi_роутер,584.75,2022
2022-09-13,P059,9.0,3042.0780617614932,Продукт 59,Wi_Fi_роутер,509.79,2022
2022-07-22,P025,10.0,3042.0780617614932,Продукт 25,Wi_Fi_роутер,665.13,2022
2022-12-03,P074,5.0,1640.49,Продукт 74,Планшет,546.83,2022
2022-08-01,P006,2.0,754.27,Продукт 6,Смартфон,754.27,2022
2022-01-10,P065,5.0,3042.0780617614932,Продукт 65,Планшет,347.71,2022
2022-03-28,P058,9.0,1057.78,Продукт 58,Смартфон,528.89,2022
2022-04-11,P000,6.0,280.72,Продукт 0,Смартфон,140.36,2022
2022-08-09,P066,9.0,196.7,Продукт 66,Планшет,39.34,2022
2022-11-24,P068,8.0,1188.76,Продукт 68,Смартфон,297.19,2022
2022-11-17,P009,9.0,1780.77,Продукт 9,Смартфон,593.59,2022
2022-11-09,P079,1.0,3741.6,Продукт 79,Телефизор,935.4,2022
2022-07-16,P075,6.0,783.15,Продукт 75,Смартфон,783.15,2022
2022-06-25,P076,3.0,1948.4,Продукт 76,Смартфон,487.1,2022
2022-04-06,P090,3.0,2593.8,Продукт 90,Wi_Fi_роутер,864.6,2022
2022-10-18,P010,10.0,7392.51,Продукт 10,Смартфон,821.39,2022
2022-06-04,P014,10.0,5432.76,Продукт 14,Wi_Fi_роутер,905.46,2022
2022-05-21,P001,3.0,3042.0780617614932,Продукт 1,Телефизор,240.3,2022
2022-04-03,P009,8.0,2374.36,Продукт 9,Смартфон,593.59,2022
2022-11-12,P015,5.0,1613.79,Продукт 15,Wi_Fi_роутер,537.93,2022
2022-01-26,P067,7.0,7318.24,Продукт 67,Смартфон,914.78,2022
2022-09-28,P058,6.0,2644.45,Продукт 58,Смартфон,528.89,2022
2022-08-11,P038,9.0,2217.42,Продукт 38,Планшет,369.57,2022
2022-07-26,P067,2.0,3042.0780617614932,Продукт 67,Смартфон,914.78,2022
2022-07-08,P018,4.0,3042.0780617614932,Продукт 18,Wi_Fi_роутер,453.65,2022
2022-03-16,P035,2.0,2027.56,Продукт 35,Телефизор,506.89,2022
2022-11-22,P059,10.0,509.79,Продукт 59,Wi_Fi_роутер,509.79,2022
2022-12-28,P078,8.0,724.3,Продукт 78,Wi_Fi_роутер,362.15,2022
2022-04-09,P084,5.0,6823.32,Продукт 84,Wi_Fi_роутер,974.76,2022
2022-01-05,P062,7.0,3875.55,Продукт 62,Телефизор,553.65,2022
2022-11-29,P030,6.0,928.53,Продукт 30,Планшет,103.17,2022
2022-08-09,P073,6.0,3042.0780617614932,Продукт 73,Wi_Fi_роутер,32.18,2022
2022-09-19,P091,9.0,8804.4,Продукт 91,Ноутбук,880.44,2022
2022-04-01,P006,9.0,1508.54,Продукт 6,Смартфон,754.27,2022
2022-03-06,P059,10.0,509.79,Продукт 59,Wi_Fi_роутер,509.79,2022
2022-01-07,P053,8.0,928.59,Продукт 53,Ноутбук,309.53,2022
2022-11-03,P043,6.0,6668.76,Продукт 43,Планшет,952.68,2022
2022-12-10,P015,10.0,4303.44,Продукт 15,Wi_Fi_роутер,537.93,2022
2022-05-22,P068,9.0,2971.9,Продукт 68,Смартфон,297.19,2022
2022-11-22,P059,7.0,1529.37,Продукт 59,Wi_Fi_роутер,509.79,2022
2022-02-24,P077,3.0,1837.06,Продукт 77,Смартфон,918.53,2022
2022-11-19,P027,8.0,3042.0780617614932,Продукт 27,Ноутбук,54.77,2022
2022-11-10,P087,4.0,735.21,Продукт 87,Wi_Fi_роутер,245.07,2022
2022-06-19,P004,1.0,2572.29,Продукт 4,Wi_Fi_роутер,367.47,2022
2022-06-30,P009,10.0,593.59,Продукт 9,Смартфон,593.59,2022
2022-04-19,P025,3.0,5986.17,Продукт 25,Wi_Fi_роутер,665.13,2022
2022-11-01,P027,4.0,438.16,Продукт 27,Ноутбук,54.77,2022
2022-12-01,P030,5.0,206.34,Продукт 30,Планшет,103.17,2022
2022-01-30,P002,1.0,6627.36,Продукт 2,Ноутбук,828.42,2022
2022-10-15,P074,7.0,3042.0780617614932,Продукт 74,Планшет,546.83,2022
2022-08-05,P045,8.0,225.57,Продукт 45,Ноутбук,225.57,2022
2022-06-23,P057,10.0,1830.51,Продукт 57,Смартфон,610.17,2022
2022-07-02,P040,5.0,3042.0780617614932,Продукт 40,Смартфон,973.8,2022
2022-02-14,P088,4.0,622.93,Продукт 88,Wi_Fi_роутер,622.93,2022
2022-02-05,P004,2.0,3674.7,Продукт 4,Wi_Fi_роутер,367.47,2022
2022-08-14,P061,8.0,3177.05,Продукт 61,Ноутбук,635.41,2022
2022-04-15,P091,8.0,3042.0780617614932,Продукт 91,Ноутбук,880.44,2022
2022-08-29,P073,1.0,32.18,Продукт 73,Wi_Fi_роутер,32.18,2022
2022-05-13,P059,8.0,4078.32,Продукт 59,Wi_Fi_роутер,509.79,2022
2022-05-17,P019,9.0,9030.1,Продукт 19,Планшет,903.01,2022
2022-04-02,P099,10.0,4085.46,Продукт 99,Ноутбук,680.91,2022
2022-10-07,P031,4.0,1179.66,Продукт 31,Ноутбук,393.22,2022
2022-10-09,P002,7.0,7455.78,Продукт 2,Ноутбук,828.42,2022
2022-04-09,P088,3.0,622.93,Продукт 88,Wi_Fi_роутер,622.93,2022
2022-04-12,P065,6.0,2781.68,Продукт 65,Планшет,347.71,2022
2022-03-31,P075,10.0,7048.35,Продукт 75,Смартфон,783.15,2022
2022-12-16,P015,3.0,1075.86,Продукт 15,Wi_Fi_роутер,537.93,2022
2022-05-05,P064,5.0,1359.42,Продукт 64,Телефизор,679.71,2022
2022-05-27,P005,5.0,2871.06,Продукт 5,Телефизор,957.02,2022
2022-04-06,P032,5.0,650.03,Продукт 32,Планшет,650.03,2022
2022-05-14,P035,8.0,1013.78,Продукт 35,Телефизор,506.89,2022
2022-07-06,P015,3.0,4303.44,Продукт 15,Wi_Fi_роутер,537.93,2022
2022-01-12,P037,8.0,4390.02,Продукт 37,Wi_Fi_роутер,487.78,2022
2022-08-16,P013,8.0,547.52,Продукт 13,Ноутбук,68.44,2022
2022-03-08,P016,7.0,1059.57,Продукт 16,Телефизор,353.19,2022
2022-05-31,P039,7.0,617.46,Продукт 39,Телефизор,205.82,2022
2022-09-21,P088,3.0,622.93,Продукт 88,Wi_Fi_роутер,622.93,2022
2022-11-02,P022,5.0,3476.85,Продукт 22,Ноутбук,695.37,2022
2022-03-19,P011,2.0,3931.62,Продукт 11,Wi_Fi_роутер,655.27,2022
2022-10-01,P076,10.0,2435.5,Продукт 76,Смартфон,487.1,2022
2022-05-20,P082,2.0,294.76,Продукт 82,Смартфон,147.38,2022
2022-08-25,P043,6.0,9526.8,Продукт 43,Планшет,952.68,2022
2022-08-15,P062,2.0,5536.5,Продукт 62,Телефизор,553.65,2022
2022-01-13,P064,9.0,3398.55,Продукт 64,Телефизор,679.71,2022
2022-04-02,P045,1.0,3042.0780617614932,Продукт 45,Ноутбук,225.57,2022
2022-04-03,P069,3.0,3709.4,Продукт 69,Ноутбук,741.88,2022
2022-04-23,P032,3.0,4550.21,Продукт 32,Планшет,650.03,2022
2022-01-02,P004,6.0,2939.76,Продукт 4,Wi_Fi_роутер,367.47,2022
2022-02-24,P013,1.0,205.32,Продукт 13,Ноутбук,68.44,2022
2022-09-14,P050,10.0,589.48,Продукт 50,Ноутбук,294.74,2022
2022-10-05,P040,8.0,3042.0780617614932,Продукт 40,Смартфон,973.8,2022
2022-08-30,P025,3.0,665.13,Продукт 25,Wi_Fi_роутер,665.13,2022
2022-09-19,P078,3.0,2897.2,Продукт 78,Wi_Fi_роутер,362.15,2022
2022-06-21,P052,6.0,3042.0780617614932,Продукт 52,Ноутбук,334.82,2022
2022-03-03,P061,4.0,2541.64,Продукт 61,Ноутбук,635.41,2022
2022-01-15,P070,9.0,3042.0780617614932,Продукт 70,Планшет,832.73,2022
2022-09-24,P070,9.0,8327.3,Продукт 70,Планшет,832.73,2022
2022-03-07,P060,7.0,1769.65,Продукт 60,Wi_Fi_роутер,353.93,2022
2022-11-22,P036,5.0,4040.75,Продукт 36,Смартфон,808.15,2022
2022-04-03,P057,3.0,6101.7,Продукт 57,Смартфон,610.17,2022
2022-07-01,P010,10.0,4106.95,Продукт 10,Смартфон,821.39,2022
2022-03-10,P057,4.0,4271.19,Продукт 57,Смартфон,610.17,2022
2022-03-20,P091,6.0,2641.32,Продукт 91,Ноутбук,880.44,2022
2022-10-19,P051,7.0,9911.8,Продукт 51,Телефизор,991.18,2022
2022-08-29,P006,9.0,6788.43,Продукт 6,Смартфон,754.27,2022
2022-08-12,P066,5.0,275.38,Продукт 66,Планшет,39.34,2022
2022-10-08,P027,2.0,328.62,Продукт 27,Ноутбук,54.77,2022
2022-08-26,P039,3.0,823.28,Продукт 39,Телефизор,205.82,2022
2022-05-01,P039,7.0,617.46,Продукт 39,Телефизор,205.82,2022
2022-11-16,P092,1.0,3877.32,Продукт 92,Телефизор,646.22,2022
2022-04-06,P025,8.0,3325.65,Продукт 25,Wi_Fi_роутер,665.13,2022
2022-07-17,P009,10.0,2374.36,Продукт 9,Смартфон,593.59,2022
2022-05-08,P074,4.0,3827.81,Продукт 74,Планшет,546.83,2022
2022-02-08,P008,2.0,2379.6,Продукт 8,Планшет,475.92,2022
2022-05-25,P039,2.0,823.28,Продукт 39,Телефизор,205.82,2022
2022-03-03,P022,1.0,5562.96,Продукт 22,Ноутбук,695.37,2022
2022-12-19,P038,5.0,1847.85,Продукт 38,Планшет,369.57,2022
2022-06-04,P093,2.0,3041.85,Продукт 93,Ноутбук,608.37,2022
2022-08-02,P023,6.0,4282.96,Продукт 23,Планшет,535.37,2022
2022-03-19,P043,10.0,7621.44,Продукт 43,Планшет,952.68,2022
2022-07-12,P086,2.0,83.04,Продукт 86,Wi_Fi_роутер,10.38,2022
2022-06-15,P063,4.0,2530.92,Продукт 63,Смартфон,843.64,2022
2022-04-06,P079,7.0,935.4,Продукт 79,Телефизор,935.4,2022
2022-07-24,P070,2.0,2498.19,Продукт 70,Планшет,832.73,2022
2022-08-10,P081,5.0,4228.14,Продукт 81,Wi_Fi_роутер,704.69,2022
2022-06-20,P031,8.0,393.22,Продукт 31,Ноутбук,393.22,2022
2022-11-20,P097,8.0,2429.46,Продукт 97,Телефизор,809.82,2022
2022-05-20,P020,5.0,4150.3,Продукт 20,Смартфон,592.9,2022
2022-05-28,P039,7.0,823.28,Продукт 39,Телефизор,205.82,2022
2022-01-01,P097,1.0,809.82,Продукт 97,Телефизор,809.82,2022
2022-06-22,P042,10.0,1886.85,Продукт 42,Смартфон,269.55,2022
2022-05-28,P099,5.0,2042.73,Продукт 99,Ноутбук,680.91,2022
2022-08-24,P044,1.0,2586.76,Продукт 44,Смартфон,646.69,2022
2022-07-17,P002,5.0,3313.68,Продукт 2,Ноутбук,828.42,2022
2022-02-01,P035,6.0,4562.01,Продукт 35,Телефизор,506.89,2022
2022-12-04,P018,3.0,4082.85,Продукт 18,Wi_Fi_роутер,453.65,2022
2022-10-28,P082,7.0,442.14,Продукт 82,Смартфон,147.38,2022
2022-07-20,P030,8.0,619.02,Продукт 30,Планшет,103.17,2022
2022-02-05,P096,5.0,3205.8,Продукт 96,Смартфон,320.58,2022
2022-07-11,P074,5.0,2734.15,Продукт 74,Планшет,546.83,2022
2022-05-22,P003,1.0,5572.64,Продукт 3,Смартфон,696.58,2022
2022-02-08,P078,2.0,3042.0780617614932,Продукт 78,Wi_Fi_роутер,362.15,2022
2022-06-03,P014,8.0,905.46,Продукт 14,Wi_Fi_роутер,905.46,2022
2022-10-18,P026,4.0,1145.95,Продукт 26,Смартфон,229.19,2022
2022-05-10,P099,9.0,4766.37,Продукт 99,Ноутбук,680.91,2022
2022-11-12,P067,1.0,2744.34,Продукт 67,Смартфон,914.78,2022
2022-08-23,P036,8.0,4848.9,Продукт 36,Смартфон,808.15,2022
2022-04-23,P089,8.0,2120.76,Продукт 89,Ноутбук,530.19,2022
2022-08-16,P059,2.0,1019.58,Продукт 59,Wi_Fi_роутер,509.79,2022
2022-08-22,P047,1.0,931.23,Продукт 47,Телефизор,931.23,2022
2022-08-25,P091,7.0,3042.0780617614932,Продукт 91,Ноутбук,880.44,2022
2022-12-19,P058,3.0,528.89,Продукт 58,Смартфон,528.89,2022
2022-06-13,P045,9.0,451.14,Продукт 45,Ноутбук,225.57,2022
2022-01-16,P096,9.0,320.58,Продукт 96,Смартфон,320.58,2022
2022-10-18,P083,10.0,1677.3,Продукт 83,Смартфон,279.55,2022
2022-05-25,P055,8.0,701.02,Продукт 55,Смартфон,701.02,2022
2022-05-09,P044,10.0,3880.14,Продукт 44,Смартфон,646.69,2022
2022-07-31,P019,7.0,3042.0780617614932,Продукт 19,Планшет,903.01,2022
2022-04-18,P098,9.0,7580.4,Продукт 98,Телефизор,758.04,2022
2022-02-10,P075,2.0,4698.9,Продукт 75,Смартфон,783.15,2022
2022-09-02,P010,7.0,2464.17,Продукт 10,Смартфон,821.39,2022
2022-03-05,P019,4.0,9030.1,Продукт 19,Планшет,903.01,2022
2022-11-01,P099,4.0,1361.82,Продукт 99,Ноутбук,680.91,2022
2022-03-24,P007,5.0,2092.14,Продукт 7,Wi_Fi_роутер,697.38,2022
2022-07-12,P047,4.0,6518.61,Продукт 47,Телефизор,931.23,2022
2022-07-03,P031,6.0,3932.2,Продукт 31,Ноутбук,393.22,2022
2022-04-05,P007,9.0,2789.52,Продукт 7,Wi_Fi_роутер,697.38,2022
2022-11-09,P092,10.0,6462.2,Продукт 92,Телефизор,646.22,2022
2022-11-23,P096,8.0,961.74,Продукт 96,Смартфон,320.58,2022
2022-04-26,P078,8.0,3621.5,Продукт 78,Wi_Fi_роутер,362.15,2022
2022-05-22,P007,9.0,1394.76,Продукт 7,Wi_Fi_роутер,697.38,2022
2022-07-20,P060,2.0,3185.37,Продукт 60,Wi_Fi_роутер,353.93,2022
2022-04-28,P055,5.0,5608.16,Продукт 55,Смартфон,701.02,2022
2022-05-13,P053,9.0,1857.18,Продукт 53,Ноутбук,309.53,2022
2022-01-25,P057,8.0,4271.19,Продукт 57,Смартфон,610.17,2022
2022-12-17,P027,1.0,438.16,Продукт 27,Ноутбук,54.77,2022
2022-10-02,P036,9.0,4848.9,Продукт 36,Смартфон,808.15,2022
2022-05-17,P071,3.0,93.16,Продукт 71,Планшет,93.16,2022
2022-01-17,P039,9.0,2058.2,Продукт 39,Телефизор,205.82,2022
2022-12-20,P031,8.0,3042.0780617614932,Продукт 31,Ноутбук,393.22,2022
2022-08-31,P029,3.0,4667.28,Продукт 29,Wi_Fi_роутер,777.88,2022
2022-07-14,P089,9.0,1590.57,Продукт 89,Ноутбук,530.19,2022
2022-05-26,P020,5.0,4743.2,Продукт 20,Смартфон,592.9,2022
2022-09-26,P024,5.0,3733.02,Продукт 24,Планшет,414.78,2022
2022-03-24,P096,8.0,1923.48,Продукт 96,Смартфон,320.58,2022
2022-08-13,P036,10.0,4040.75,Продукт 36,Смартфон,808.15,2022
2022-08-10,P000,8.0,421.08,Продукт 0,Смартфон,140.36,2022
2022-06-18,P053,1.0,1857.18,Продукт 53,Ноутбук,309.53,2022
2022-12-11,P081,3.0,2818.76,Продукт 81,Wi_Fi_роутер,704.69,2022
2022-02-15,P012,7.0,1754.25,Продукт 12,Wi_Fi_роутер,584.75,2022
2022-10-23,P005,10.0,3042.0780617614932,Продукт 5,Телефизор,957.02,2022
2022-12-06,P066,3.0,118.02,Продукт 66,Планшет,39.34,2022
2022-05-31,P032,9.0,5200.24,Продукт 32,Планшет,650.03,2022
2022-01-02,P095,2.0,905.02,Продукт 95,Ноутбук,452.51,2022
2022-08-13,P079,2.0,8418.6,Продукт 79,Телефизор,935.4,2022
2022-05-30,P041,7.0,4114.98,Продукт 41,Телефизор,457.22,2022
2022-08-18,P058,1.0,2115.56,Продукт 58,Смартфон,528.89,2022
2022-07-10,P008,7.0,1427.76,Продукт 8,Планшет,475.92,2022
2022-09-10,P061,7.0,635.41,Продукт 61,Ноутбук,635.41,2022
2022-11-23,P073,2.0,289.62,Продукт 73,Wi_Fi_роутер,32.18,2022
2022-03-06,P063,4.0,5905.48,Продукт 63,Смартфон,843.64,2022
2022-09-06,P043,4.0,952.68,Продукт 43,Планшет,952.68,2022
2022-04-22,P050,9.0,3042.0780617614932,Продукт 50,Ноутбук,294.74,2022
2022-07-02,P092,2.0,5815.98,Продукт 92,Телефизор,646.22,2022
2022-09-23,P097,4.0,809.82,Продукт 97,Телефизор,809.82,2022
2022-09-16,P095,3.0,452.51,Продукт 95,Ноутбук,452.51,2022
2022-04-07,P093,2.0,1216.74,Продукт 93,Ноутбук,608.37,2022
2022-09-20,P027,4.0,164.31,Продукт 27,Ноутбук,54.77,2022
2022-07-24,P000,8.0,1403.6,Продукт 0,Смартфон,140.36,2022
2022-05-12,P002,4.0,3042.0780617614932,Продукт 2,Ноутбук,828.42,2022
2022-11-10,P030,8.0,515.85,Продукт 30,Планшет,103.17,2022
2022-08-08,P019,9.0,3042.0780617614932,Продукт 19,Планшет,903.01,2022
2022-09-12,P037,10.0,2438.9,Продукт 37,Wi_Fi_роутер,487.78,2022
2022-12-21,P024,4.0,2903.46,Продукт 24,Планшет,414.78,2022
2022-08-05,P072,9.0,1806.8,Продукт 72,Смартфон,180.68,2022
2022-01-14,P011,7.0,6552.7,Продукт 11,Wi_Fi_роутер,655.27,2022
2022-10-13,P023,5.0,5353.7,Продукт 23,Планшет,535.37,2022
2022-07-18,P083,1.0,1397.75,Продукт 83,Смартфон,279.55,2022
2022-07-19,P060,5.0,3042.0780617614932,Продукт 60,Wi_Fi_роутер,353.93,2022
2022-05-14,P048,1.0,4138.68,Продукт 48,Wi_Fi_роутер,689.78,2022
2022-01-08,P099,10.0,1361.82,Продукт 99,Ноутбук,680.91,2022
2022-01-03,P011,8.0,5897.43,Продукт 11,Wi_Fi_роутер,655.27,2022
2022-08-22,P000,1.0,421.08,Продукт 0,Смартфон,140.36,2022
2022-06-29,P091,9.0,7923.96,Продукт 91,Ноутбук,880.44,2022
2022-05-19,P012,2.0,584.75,Продукт 12,Wi_Fi_роутер,584.75,2022
2022-02-01,P075,10.0,7048.35,Продукт 75,Смартфон,783.15,2022
2022-03-18,P029,3.0,3111.52,Продукт 29,Wi_Fi_роутер,777.88,2022
2022-09-08,P013,8.0,479.08,Продукт 13,Ноутбук,68.44,2022
2022-09-03,P001,6.0,1922.4,Продукт 1,Телефизор,240.3,2022
2022-12-28,P016,1.0,1412.76,Продукт 16,Телефизор,353.19,2022
2022-06-27,P055,9.0,2103.06,Продукт 55,Смартфон,701.02,2022
2022-05-19,P039,3.0,3042.0780617614932,Продукт 39,Телефизор,205.82,2022
2022-01-19,P098,4.0,1516.08,Продукт 98,Телефизор,758.04,2022
2022-04-03,P032,3.0,5200.24,Продукт 32,Планшет,650.03,2022
2022-03-02,P034,1.0,3678.84,Продукт 34,Планшет,613.14,2022
2022-09-18,P072,1.0,3042.0780617614932,Продукт 72,Смартфон,180.68,2022
2022-04-18,P008,6.0,1427.76,Продукт 8,Планшет,475.92,2022
2022-08-01,P057,8.0,3050.85,Продукт 57,Смартфон,610.17,2022
2022-07-14,P050,3.0,2947.4,Продукт 50,Ноутбук,294.74,2022
2022-09-17,P019,6.0,1806.02,Продукт 19,Планшет,903.01,2022
2022-05-15,P062,6.0,4429.2,Продукт 62,Телефизор,553.65,2022
2022-08-18,P075,10.0,6265.2,Продукт 75,Смартфон,783.15,2022
2022-05-07,P044,5.0,6466.9,Продукт 44,Смартфон,646.69,2022
2022-04-01,P037,9.0,1463.34,Продукт 37,Wi_Fi_роутер,487.78,2022
2022-02-26,P016,10.0,706.38,Продукт 16,Телефизор,353.19,2022
2022-08-24,P088,9.0,2491.72,Продукт 88,Wi_Fi_роутер,622.93,2022
2022-05-09,P038,7.0,2217.42,Продукт 38,Планшет,369.57,2022
2022-02-06,P003,6.0,1393.16,Продукт 3,Смартфон,696.58,2022
2022-01-25,P016,4.0,1412.76,Продукт 16,Телефизор,353.19,2022
2022-12-13,P020,3.0,2964.5,Продукт 20,Смартфон,592.9,2022
2022-01-13,P090,7.0,4323.0,Продукт 90,Wi_Fi_роутер,864.6,2022
2022-10-08,P064,8.0,6797.1,Продукт 64,Телефизор,679.71,2022
2022-07-10,P087,3.0,3042.0780617614932,Продукт 87,Wi_Fi_роутер,245.07,2022
2022-01-12,P076,7.0,974.2,Продукт 76,Смартфон,487.1,2022
